Format Version,1.22,Take Name,paul_squatlifting1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,16 Dec 1969 13:09:06 +0100,Total Frames in Take,5432,Total Exported Frames,5432,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,0.297365,1.066983,0.285036,-0.402768,0.003147,0.518145,-0.396333,0.005504,0.088423,-0.788043,0.660910,0.599654,-0.762986,0.669415,-0.099271,-0.397225,0.228470,0.084878,-0.089505,0.009312,0.085648,-0.286794,0.664675,-0.096219,0.274820,0.061770,0.089481,0.229393,1.028925,0.015250,0.233431,0.858029,0.125680,0.322561,0.061266,0.143084,0.236398,0.469352,0.117540,0.260196,1.370664,0.100500,0.088953,0.030681,0.130568,0.150924,0.784197,0.053272,1.357229,1.507032,-0.531425,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,0.296843,1.066754,0.284724,-0.402780,0.003162,0.518148,-0.396332,0.005498,0.088432,-0.788038,0.660908,0.599656,-0.762981,0.669405,-0.099269,-0.397220,0.228459,0.084881,-0.089499,0.009330,0.085617,-0.286792,0.664676,-0.096218,0.274849,0.061745,0.089461,0.228510,1.028666,0.015077,0.233889,0.858080,0.124926,0.322579,0.061234,0.143059,0.236559,0.469231,0.117315,0.260254,1.370386,0.099898,0.088977,0.030714,0.130538,0.149481,0.784129,0.053454,1.357205,1.507032,-0.531424,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,0.296490,1.066756,0.284447,-0.402813,0.003187,0.518129,-0.396339,0.005487,0.088438,-0.788039,0.660905,0.599657,-0.762986,0.669416,-0.099270,-0.397223,0.228464,0.084882,-0.089482,0.009344,0.085603,-0.286793,0.664677,-0.096221,0.274843,0.061748,0.089462,0.227582,1.028428,0.014886,0.233491,0.857891,0.124624,0.322583,0.061231,0.143048,0.236455,0.469147,0.117170,0.260317,1.370161,0.099415,0.088973,0.030736,0.130517,0.148137,0.784015,0.053652,1.357147,1.507023,-0.531409,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,0.296060,1.066617,0.284184,-0.402803,0.003174,0.518131,-0.396336,0.005492,0.088433,-0.788037,0.660904,0.599663,-0.762987,0.669409,-0.099268,-0.397226,0.228466,0.084884,-0.089484,0.009357,0.085588,-0.286791,0.664674,-0.096219,0.274810,0.061751,0.089484,0.226764,1.028140,0.014831,0.233141,0.857795,0.124421,0.322572,0.061240,0.143059,0.236130,0.469075,0.117083,0.260348,1.369874,0.098929,0.088947,0.030751,0.130497,0.146792,0.783991,0.053884,1.356511,1.506766,-0.531255,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,0.295806,1.066630,0.284033,-0.402763,0.003154,0.518134,-0.396333,0.005492,0.088429,-0.788043,0.660908,0.599652,-0.762987,0.669408,-0.099266,-0.397226,0.228464,0.084882,-0.089487,0.009360,0.085578,-0.286793,0.664671,-0.096218,0.274723,0.061807,0.089497,0.225949,1.027859,0.014807,0.232962,0.857742,0.124248,0.322522,0.061267,0.143060,0.235640,0.468926,0.117080,0.260495,1.369642,0.098521,0.088901,0.030746,0.130492,0.145579,0.783925,0.054169,1.357199,1.507026,-0.531414,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,0.295614,1.066685,0.283928,-0.402795,0.003176,0.518136,-0.396324,0.005501,0.088432,-0.788032,0.660908,0.599655,-0.762984,0.669411,-0.099267,-0.397224,0.228464,0.084883,-0.089482,0.009387,0.085557,-0.286792,0.664675,-0.096219,0.274633,0.061823,0.089519,0.225203,1.027611,0.014806,0.232846,0.857715,0.124092,0.322474,0.061304,0.143056,0.235083,0.468824,0.117067,0.260567,1.369402,0.098048,0.088849,0.030736,0.130475,0.144326,0.783905,0.054478,1.357193,1.507023,-0.531421,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,0.295326,1.066649,0.283883,-0.402784,0.003172,0.518132,-0.396339,0.005487,0.088431,-0.788034,0.660904,0.599661,-0.762987,0.669414,-0.099268,-0.397229,0.228463,0.084876,-0.089480,0.009412,0.085541,-0.286793,0.664676,-0.096217,0.274548,0.061859,0.089539,0.224453,1.027375,0.014867,0.232760,0.857691,0.123935,0.322421,0.061324,0.143069,0.234473,0.468727,0.117072,0.260608,1.369264,0.097652,0.088806,0.030752,0.130452,0.143102,0.783848,0.054838,1.356583,1.506762,-0.531259,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,0.295089,1.066733,0.283811,-0.402806,0.003179,0.518128,-0.396336,0.005494,0.088424,-0.788034,0.660909,0.599656,-0.762988,0.669409,-0.099269,-0.397229,0.228469,0.084879,-0.089472,0.009432,0.085523,-0.286794,0.664675,-0.096218,0.274465,0.061892,0.089570,0.223793,1.027165,0.014964,0.232685,0.857682,0.123786,0.322368,0.061370,0.143072,0.233825,0.468668,0.117123,0.260731,1.369065,0.097291,0.088752,0.030745,0.130432,0.141945,0.783849,0.055200,1.357162,1.507024,-0.531427,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,0.294993,1.066936,0.283709,-0.402810,0.003188,0.518125,-0.396332,0.005495,0.088426,-0.788044,0.660911,0.599661,-0.762982,0.669411,-0.099264,-0.397220,0.228460,0.084876,-0.089467,0.009427,0.085509,-0.286795,0.664677,-0.096220,0.274386,0.061943,0.089579,0.223131,1.026976,0.015099,0.232595,0.857685,0.123613,0.322326,0.061429,0.143079,0.233162,0.468651,0.117205,0.260836,1.368917,0.097003,0.088720,0.030758,0.130406,0.140840,0.783856,0.055612,1.356508,1.506778,-0.531261,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,0.294831,1.066977,0.283661,-0.402781,0.003159,0.518137,-0.396338,0.005501,0.088428,-0.788043,0.660906,0.599659,-0.762986,0.669411,-0.099269,-0.397219,0.228467,0.084882,-0.089575,0.008945,0.086033,-0.286797,0.664677,-0.096214,0.274300,0.061985,0.089618,0.222542,1.026785,0.015244,0.232403,0.857588,0.123390,0.322274,0.061475,0.143118,0.232505,0.468649,0.117280,0.261026,1.368763,0.096786,0.088700,0.030761,0.130379,0.139805,0.783880,0.056075,1.356499,1.506773,-0.531252,,,,,,,,,,,,,,,,,,,,,,,,,,,
