Format Version,1.22,Take Name,clement_squatlifitng1,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,20 Dec 1969 10:09:46 +0100,Total Frames in Take,6995,Total Exported Frames,6995,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
21,0.210000,0.374608,1.107800,0.298958,-0.367145,0.010041,0.482984,-0.362426,0.007855,0.058458,-0.745306,0.661238,0.602038,-0.730925,0.667035,-0.095397,-0.365184,0.229161,0.054327,-0.047542,0.006898,0.056127,-0.254616,0.661538,-0.099899,0.320129,0.074437,0.146278,0.282523,1.122263,0.031758,0.357277,0.882974,0.121686,0.357020,0.076896,0.201065,0.260088,0.495284,0.124572,0.320961,1.485838,0.118745,0.112493,0.034533,0.151388,0.158761,0.891667,0.027151,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,0.374616,1.107802,0.298953,-0.367176,0.010067,0.482968,-0.362439,0.007862,0.058452,-0.745315,0.661245,0.602040,-0.730927,0.667034,-0.095396,-0.365176,0.229160,0.054327,-0.047549,0.006898,0.056124,-0.254619,0.661538,-0.099901,0.320136,0.074441,0.146273,0.282522,1.122262,0.031750,0.357279,0.882969,0.121697,0.357019,0.076893,0.201058,0.260079,0.495289,0.124564,0.320987,1.485839,0.118719,0.112490,0.034530,0.151387,0.158756,0.891674,0.027142,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,0.374619,1.107798,0.298946,-0.367209,0.010088,0.482977,-0.362428,0.007870,0.058443,-0.745318,0.661237,0.602042,-0.730926,0.667029,-0.095398,-0.365180,0.229156,0.054327,-0.047536,0.006895,0.056119,-0.254622,0.661534,-0.099897,0.320129,0.074431,0.146274,0.282522,1.122264,0.031736,0.357278,0.882960,0.121691,0.357024,0.076902,0.201053,0.260078,0.495275,0.124570,0.321022,1.485835,0.118701,0.112484,0.034532,0.151386,0.158748,0.891677,0.027133,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,0.374617,1.107795,0.298938,-0.367171,0.010063,0.482983,-0.362434,0.007860,0.058445,-0.745314,0.661241,0.602040,-0.730926,0.667034,-0.095397,-0.365184,0.229162,0.054327,-0.047543,0.006880,0.056127,-0.254617,0.661539,-0.099902,0.320137,0.074423,0.146280,0.282530,1.122259,0.031725,0.357288,0.882962,0.121678,0.357029,0.076909,0.201049,0.260084,0.495284,0.124560,0.321066,1.485826,0.118683,0.112486,0.034515,0.151390,0.158739,0.891684,0.027136,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,0.374620,1.107786,0.298924,-0.367202,0.010086,0.482973,-0.362428,0.007862,0.058445,-0.745305,0.661234,0.602050,-0.730925,0.667036,-0.095398,-0.365178,0.229162,0.054323,-0.047546,0.006886,0.056126,-0.254620,0.661535,-0.099905,0.320139,0.074435,0.146270,0.282539,1.122257,0.031713,0.357281,0.882953,0.121679,0.357033,0.076909,0.201047,0.260094,0.495276,0.124560,0.321106,1.485814,0.118672,0.112490,0.034527,0.151392,0.158733,0.891682,0.027144,,,,,,,,,,,,,,,,,,,,,,,,
26,0.260000,0.374633,1.107785,0.298905,-0.367172,0.010066,0.482980,-0.362432,0.007863,0.058451,-0.745307,0.661236,0.602043,-0.730927,0.667034,-0.095400,-0.365174,0.229153,0.054327,-0.047551,0.006888,0.056126,-0.254620,0.661545,-0.099899,0.320134,0.074416,0.146278,0.282555,1.122250,0.031707,0.357283,0.882954,0.121672,0.357032,0.076906,0.201046,0.260089,0.495268,0.124553,0.321134,1.485806,0.118658,0.112485,0.034516,0.151389,0.158722,0.891678,0.027144,,,,,,,,,,,,,,,,,,,,,,,,
27,0.270000,0.374645,1.107785,0.298891,-0.367184,0.010086,0.482979,-0.362430,0.007859,0.058450,-0.745314,0.661239,0.602045,-0.730923,0.667031,-0.095395,-0.365181,0.229156,0.054325,-0.047547,0.006887,0.056128,-0.254622,0.661535,-0.099901,0.320137,0.074429,0.146275,0.282578,1.122233,0.031706,0.357287,0.882962,0.121657,0.357030,0.076892,0.201051,0.260080,0.495270,0.124552,0.321160,1.485798,0.118649,0.112497,0.034533,0.151391,0.158738,0.891684,0.027163,,,,,,,,,,,,,,,,,,,,,,,,
28,0.280000,0.374657,1.107792,0.298871,-0.367173,0.010073,0.482975,-0.362432,0.007872,0.058442,-0.745314,0.661241,0.602049,-0.730923,0.667032,-0.095401,-0.365176,0.229166,0.054317,-0.047546,0.006893,0.056123,-0.254618,0.661540,-0.099905,0.320139,0.074438,0.146267,0.282624,1.122216,0.031716,0.357274,0.882960,0.121656,0.357022,0.076884,0.201053,0.260066,0.495279,0.124536,0.321233,1.485780,0.118641,0.112494,0.034531,0.151390,0.158747,0.891683,0.027161,,,,,,,,,,,,,,,,,,,,,,,,
29,0.290000,0.374665,1.107789,0.298870,-0.367168,0.010062,0.482974,-0.362427,0.007857,0.058454,-0.745300,0.661233,0.602048,-0.730925,0.667035,-0.095403,-0.365182,0.229156,0.054327,-0.047545,0.006890,0.056128,-0.254619,0.661537,-0.099897,0.320136,0.074441,0.146268,0.282650,1.122201,0.031716,0.357276,0.882954,0.121639,0.357023,0.076884,0.201051,0.260063,0.495271,0.124533,0.321250,1.485779,0.118637,0.112484,0.034518,0.151393,0.158757,0.891672,0.027177,,,,,,,,,,,,,,,,,,,,,,,,
30,0.300000,0.374683,1.107792,0.298852,-0.367189,0.010083,0.482966,-0.362434,0.007858,0.058451,-0.745304,0.661235,0.602041,-0.730929,0.667038,-0.095404,-0.365177,0.229156,0.054325,-0.047541,0.006898,0.056123,-0.254621,0.661538,-0.099899,0.320127,0.074427,0.146264,0.282671,1.122195,0.031722,0.357275,0.882950,0.121628,0.357024,0.076904,0.201042,0.260045,0.495272,0.124536,0.321266,1.485767,0.118630,0.112486,0.034516,0.151400,0.158774,0.891665,0.027182,,,,,,,,,,,,,,,,,,,,,,,,
