Format Version,1.22,Take Name,jony_squatlifting3,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,16 Dec 1969 09:41:24 +0100,Total Frames in Take,5967,Total Exported Frames,5967,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,0.355396,1.058850,0.307573,-0.367835,0.006675,0.501213,-0.347661,0.009123,0.076103,-0.792252,0.664564,0.587514,-0.770375,0.671351,-0.111200,-0.348713,0.232956,0.075440,-0.042928,0.006930,0.080735,-0.295023,0.664168,-0.110133,0.293690,0.072048,0.147328,0.284211,1.052684,0.039974,0.320455,0.821799,0.129136,0.331729,0.069480,0.208633,0.240680,0.475170,0.149411,0.262395,1.383461,0.136766,0.102624,0.029065,0.184340,0.218247,0.807338,-0.007382
17,0.170000,0.355416,1.058805,0.307726,-0.367818,0.006668,0.501218,-0.347662,0.009124,0.076096,-0.792261,0.664570,0.587510,-0.770377,0.671350,-0.111204,-0.348715,0.232957,0.075431,-0.042940,0.006921,0.080733,-0.295024,0.664170,-0.110134,0.293708,0.072051,0.147328,0.283953,1.052753,0.040536,0.320531,0.821813,0.129154,0.331738,0.069483,0.208633,0.240776,0.475166,0.149424,0.262383,1.383593,0.136914,0.102632,0.029064,0.184334,0.218109,0.807219,-0.006407
18,0.180000,0.355658,1.058947,0.307813,-0.367805,0.006648,0.501232,-0.347663,0.009138,0.076102,-0.792256,0.664569,0.587517,-0.770382,0.671355,-0.111205,-0.348718,0.232957,0.075439,-0.042927,0.006933,0.080734,-0.295021,0.664166,-0.110136,0.293708,0.072046,0.147326,0.283696,1.052771,0.041170,0.320579,0.821815,0.129181,0.331749,0.069474,0.208622,0.240857,0.475175,0.149424,0.262404,1.383762,0.137072,0.102629,0.029054,0.184338,0.217956,0.807181,-0.005341
19,0.190000,0.355812,1.059018,0.307901,-0.367810,0.006657,0.501224,-0.347665,0.009131,0.076102,-0.792256,0.664565,0.587514,-0.770374,0.671351,-0.111203,-0.348715,0.232963,0.075438,-0.042930,0.006925,0.080735,-0.295023,0.664158,-0.110136,0.293712,0.072041,0.147317,0.283335,1.052722,0.041814,0.320625,0.821820,0.129191,0.331756,0.069479,0.208613,0.240923,0.475186,0.149435,0.262456,1.383946,0.137199,0.102616,0.029059,0.184333,0.217756,0.807067,-0.004303
20,0.200000,0.355878,1.059014,0.307986,-0.367780,0.006641,0.501227,-0.347666,0.009130,0.076099,-0.792250,0.664564,0.587517,-0.770380,0.671352,-0.111203,-0.348709,0.232954,0.075443,-0.042927,0.006943,0.080735,-0.295024,0.664165,-0.110136,0.293720,0.072033,0.147312,0.282966,1.052749,0.042363,0.320678,0.821832,0.129211,0.331754,0.069465,0.208612,0.240997,0.475203,0.149429,0.262491,1.384098,0.137343,0.102615,0.029048,0.184343,0.217560,0.806958,-0.003222
21,0.210000,0.355927,1.058989,0.308062,-0.367849,0.006689,0.501213,-0.347666,0.009124,0.076107,-0.792251,0.664566,0.587513,-0.770376,0.671346,-0.111202,-0.348709,0.232963,0.075437,-0.042936,0.006934,0.080735,-0.295023,0.664167,-0.110134,0.293724,0.072022,0.147309,0.282496,1.052722,0.042980,0.320723,0.821819,0.129235,0.331761,0.069461,0.208614,0.241053,0.475209,0.149430,0.262569,1.384275,0.137466,0.102626,0.029067,0.184329,0.217265,0.806851,-0.002093
22,0.220000,0.356009,1.058993,0.308119,-0.367802,0.006648,0.501224,-0.347658,0.009130,0.076104,-0.792260,0.664576,0.587510,-0.770374,0.671352,-0.111205,-0.348714,0.232957,0.075436,-0.042931,0.006932,0.080734,-0.295022,0.664162,-0.110133,0.293740,0.072032,0.147305,0.282197,1.052700,0.043553,0.320772,0.821819,0.129268,0.331774,0.069459,0.208603,0.241106,0.475197,0.149436,0.262578,1.384695,0.137331,0.102621,0.029056,0.184336,0.216996,0.806763,-0.000966
23,0.230000,0.356080,1.058981,0.308177,-0.367828,0.006677,0.501226,-0.347664,0.009123,0.076112,-0.792265,0.664576,0.587516,-0.770376,0.671352,-0.111201,-0.348718,0.232960,0.075435,-0.042933,0.006931,0.080737,-0.295016,0.664161,-0.110134,0.293747,0.072036,0.147304,0.281780,1.052734,0.044175,0.320835,0.821831,0.129290,0.331777,0.069450,0.208608,0.241151,0.475202,0.149440,0.262672,1.384888,0.137457,0.102618,0.029058,0.184333,0.216660,0.806662,0.000191
24,0.240000,0.356135,1.058973,0.308238,-0.367819,0.006656,0.501228,-0.347664,0.009120,0.076106,-0.792254,0.664565,0.587516,-0.770374,0.671354,-0.111203,-0.348715,0.232953,0.075442,-0.042928,0.006942,0.080738,-0.295022,0.664162,-0.110135,0.293747,0.072028,0.147303,0.281411,1.052804,0.044715,0.320887,0.821848,0.129314,0.331772,0.069452,0.208610,0.241200,0.475173,0.149459,0.262771,1.384776,0.137781,0.102612,0.029072,0.184332,0.216198,0.806596,0.001372
25,0.250000,0.356239,1.058939,0.308322,-0.367826,0.006663,0.501221,-0.347660,0.009130,0.076107,-0.792257,0.664565,0.587520,-0.770377,0.671352,-0.111205,-0.348713,0.232962,0.075440,-0.042935,0.006923,0.080739,-0.295016,0.664163,-0.110137,0.293745,0.072031,0.147309,0.281080,1.052747,0.045301,0.320942,0.821857,0.129338,0.331778,0.069466,0.208609,0.241258,0.475168,0.149470,0.262814,1.384948,0.137885,0.102600,0.029051,0.184348,0.215749,0.806497,0.002517
