Format Version,1.22,Take Name,rami_squatlifting2,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,13 Dec 1969 13:14:07 +0100,Total Frames in Take,5658,Total Exported Frames,5658,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.160000,0.412428,1.155221,0.296618,-0.327348,0.010045,0.478169,-0.323085,0.010262,0.050460,-0.791842,0.662144,0.585967,-0.769350,0.667917,-0.113886,-0.327728,0.228183,0.053706,-0.032079,0.009480,0.039928,-0.293452,0.664381,-0.112003,0.354314,0.078910,0.073539,0.298496,1.181094,-0.002408,0.371313,0.909077,0.100012,0.384541,0.065476,0.131223,0.270930,0.528284,0.082227,0.303113,1.553139,0.102952,0.131126,0.033158,0.062354,0.167185,0.948981,-0.004135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.170000,0.412529,1.155193,0.296482,-0.327434,0.010102,0.478152,-0.323088,0.010267,0.050446,-0.791844,0.662133,0.585969,-0.769346,0.667911,-0.113887,-0.327726,0.228186,0.053703,-0.032075,0.009481,0.039917,-0.293456,0.664378,-0.112005,0.354312,0.078896,0.073540,0.298994,1.181286,-0.002544,0.371411,0.909052,0.099813,0.384543,0.065487,0.131207,0.270923,0.528274,0.082156,0.303391,1.553245,0.102921,0.131128,0.033172,0.062349,0.168821,0.948511,-0.004514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.180000,0.412628,1.155133,0.296413,-0.327401,0.010093,0.478157,-0.323090,0.010272,0.050445,-0.791840,0.662142,0.585968,-0.769345,0.667908,-0.113885,-0.327726,0.228189,0.053698,-0.032076,0.009483,0.039919,-0.293458,0.664383,-0.112001,0.354309,0.078881,0.073534,0.299503,1.181419,-0.002685,0.371532,0.909066,0.099608,0.384547,0.065468,0.131207,0.270911,0.528265,0.082075,0.303630,1.553338,0.102887,0.131131,0.033166,0.062363,0.170597,0.948023,-0.004911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.190000,0.412833,1.155152,0.296267,-0.327363,0.010055,0.478166,-0.323087,0.010267,0.050450,-0.791855,0.662146,0.585962,-0.769347,0.667915,-0.113882,-0.327725,0.228190,0.053701,-0.032078,0.009485,0.039923,-0.293460,0.664374,-0.111998,0.354300,0.078873,0.073535,0.300113,1.181607,-0.002813,0.371659,0.909088,0.099372,0.384549,0.065465,0.131208,0.270903,0.528257,0.082013,0.303889,1.553430,0.102846,0.131135,0.033162,0.062362,0.172490,0.947464,-0.005438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.200000,0.412952,1.155145,0.296177,-0.327390,0.010061,0.478155,-0.323095,0.010270,0.050450,-0.791848,0.662142,0.585965,-0.769349,0.667916,-0.113889,-0.327729,0.228192,0.053702,-0.032072,0.009483,0.039925,-0.293462,0.664385,-0.111999,0.354302,0.078867,0.073529,0.300761,1.181763,-0.002884,0.371992,0.909331,0.098487,0.384546,0.065463,0.131198,0.270897,0.528257,0.081943,0.304126,1.553516,0.102809,0.131120,0.033162,0.062370,0.174535,0.946904,-0.006001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.210000,0.413071,1.155125,0.296093,-0.327384,0.010070,0.478157,-0.323093,0.010270,0.050453,-0.791850,0.662141,0.585969,-0.769350,0.667922,-0.113881,-0.327731,0.228187,0.053695,-0.032079,0.009481,0.039918,-0.293457,0.664382,-0.111998,0.354306,0.078870,0.073526,0.301474,1.181875,-0.002924,0.371449,0.908949,0.099502,0.384547,0.065455,0.131188,0.270900,0.528251,0.081880,0.304392,1.553606,0.102762,0.131124,0.033173,0.062369,0.176677,0.946322,-0.006632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.220000,0.413190,1.155098,0.296027,-0.327425,0.010099,0.478158,-0.323098,0.010267,0.050451,-0.791845,0.662137,0.585969,-0.769345,0.667914,-0.113885,-0.327728,0.228188,0.053698,-0.032074,0.009478,0.039915,-0.293458,0.664378,-0.112001,0.354309,0.078857,0.073512,0.302241,1.181998,-0.002964,0.371401,0.908801,0.099388,0.384553,0.065459,0.131184,0.270906,0.528251,0.081819,0.304688,1.553686,0.102727,0.131128,0.033167,0.062372,0.178939,0.945708,-0.007335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.230000,0.413296,1.155068,0.295966,-0.327333,0.010030,0.478185,-0.323096,0.010265,0.050447,-0.791846,0.662139,0.585962,-0.769346,0.667908,-0.113883,-0.327725,0.228191,0.053702,-0.032073,0.009477,0.039920,-0.293457,0.664379,-0.112003,0.354309,0.078854,0.073509,0.303081,1.182150,-0.002920,0.371465,0.908798,0.099284,0.384552,0.065452,0.131181,0.270910,0.528244,0.081763,0.304938,1.553755,0.102674,0.131128,0.033170,0.062373,0.181294,0.945073,-0.008112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.240000,0.413407,1.155041,0.295884,-0.327401,0.010092,0.478152,-0.323096,0.010268,0.050451,-0.791849,0.662140,0.585965,-0.769346,0.667907,-0.113889,-0.327725,0.228182,0.053704,-0.032080,0.009476,0.039923,-0.293452,0.664381,-0.112005,0.354309,0.078847,0.073511,0.303946,1.182239,-0.002885,0.371565,0.908700,0.099200,0.384565,0.065455,0.131170,0.270919,0.528240,0.081706,0.305177,1.553797,0.102625,0.131132,0.033174,0.062382,0.183726,0.944411,-0.008954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.250000,0.413536,1.155015,0.295823,-0.327391,0.010069,0.478155,-0.323099,0.010271,0.050453,-0.791851,0.662142,0.585963,-0.769342,0.667917,-0.113884,-0.327725,0.228184,0.053700,-0.032066,0.009494,0.039915,-0.293461,0.664384,-0.111998,0.354309,0.078833,0.073506,0.304874,1.182297,-0.002876,0.371641,0.908697,0.099104,0.384564,0.065427,0.131179,0.270931,0.528242,0.081641,0.305429,1.553819,0.102552,0.131134,0.033159,0.062390,0.186228,0.943756,-0.009892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
